[2025-07-29 04:50:09,633][datasets][INFO] - PyTorch version 2.7.1+cu128 available.
[2025-07-29 04:50:29,057][httpx][INFO] - HTTP Request: POST http://34.13.73.248:3888/v1/chat/completions "HTTP/1.1 200 OK"
[2025-07-29 04:50:42,790][httpx][INFO] - HTTP Request: POST http://34.13.73.248:3888/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2025-07-29 04:50:43,274][httpx][INFO] - HTTP Request: POST http://34.13.73.248:3888/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2025-07-29 04:50:43,664][httpx][INFO] - HTTP Request: POST http://34.13.73.248:3888/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2025-07-29 04:50:45,049][httpx][INFO] - HTTP Request: POST http://34.13.73.248:3888/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2025-07-29 04:50:55,962][httpx][INFO] - HTTP Request: POST http://34.13.73.248:3888/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2025-07-29 04:51:11,014][httpx][INFO] - HTTP Request: POST http://34.13.73.248:3888/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2025-07-29 04:51:11,450][httpx][INFO] - HTTP Request: POST http://34.13.73.248:3888/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2025-07-29 04:51:13,235][httpx][INFO] - HTTP Request: POST http://34.13.73.248:3888/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2025-07-29 04:51:16,759][httpx][INFO] - HTTP Request: POST http://34.13.73.248:3888/v1/chat/completions "HTTP/1.1 200 OK"
[2025-07-29 04:51:29,280][httpx][INFO] - HTTP Request: POST http://34.13.73.248:3888/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2025-07-29 04:51:31,648][httpx][INFO] - HTTP Request: POST http://34.13.73.248:3888/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2025-07-29 04:51:44,775][httpx][INFO] - HTTP Request: POST http://34.13.73.248:3888/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2025-07-29 04:51:45,283][httpx][INFO] - HTTP Request: POST http://34.13.73.248:3888/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2025-07-29 04:51:45,803][httpx][INFO] - HTTP Request: POST http://34.13.73.248:3888/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2025-07-29 04:51:48,450][httpx][INFO] - HTTP Request: POST http://34.13.73.248:3888/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2025-07-29 04:51:48,722][httpx][INFO] - HTTP Request: POST http://34.13.73.248:3888/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2025-07-29 04:51:50,490][httpx][INFO] - HTTP Request: POST http://34.13.73.248:3888/v1/chat/completions "HTTP/1.1 400 Bad Request"
[2025-07-29 04:52:05,995][httpx][INFO] - HTTP Request: POST http://34.13.73.248:3888/v1/chat/completions "HTTP/1.1 400 Bad Request"
